女书字符,《字帖》序,对应汉字,江永方言代表发音
𛅰,0,一,i5
𛅱,1,两日入二,na33
𛅲,2,傺错七,tsha5
𛅳,3,人,ie21
𛅴,4,八,poe5
𛅵,5,十事实侍拾莳是誓,swe33
𛅶,6,标蜂漂飘批披喷片骗,phiu44
𛅷,7,约雨宇羽舞屋武,u5
𛅸,8,水,cya35
𛅹,9,了礼弟帝吊调丫,tie42
𛅺,10,内义要语宜仪谊议意遗蚁以认忍耳,njie33
𛅻,11,大代袋待怠台抬,toe33
𛅼,12,尺嘱烛却,tchye5
𛅽,13,下吓化,fwe13
𛅾,14,朝犁低刁雕,liu44
𛅿,15,小细笑洗息夕削叔送宋宿,siu35
𛆀,16,土,thu35
𛆁,17,女,njyu13
𛆂,18,文闻,vai42
𛆃,19,坑间工公跟竿功更根庚耕,kai44
𛆄,20,寸可靠壳扩考介戒界狗苟稿确,khau21
𛆅,21,界介顾个告够过,kou21
𛆆,22,者九久韭酒守,tciou35
𛆇,23,两二,liang35
𛆈,24,向上食,ciang13
𛆉,25,干千签迁,tsheng44
𛆊,26,三,song44
𛆋,27,没,ma5
𛆌,29,辉挥坏灰非飞饭翻番反费虽,fa44
𛆍,28,知泪虑立利粒单丹,la44
𛆎,31,太,thoe21
𛆏,32,才财裁,tsoe42
𛆐,33,蝦括骨刮发,fwe44
𛆑,34,此翅池子只纸指旨紫趾仔崽,tswe35
𛆒,35,称曾了拉弄弟刀动低洞第得灯登滴冻凳待带铜腾替驼潭,ti13
𛆓,36,戏习世势逝,ci21
𛆔,37,夫傅,fu44
𛆕,38,补火幅府妇,fu35
𛆖,39,贺祸户互父妇负富腐咐付赋附福服伏,fu13
𛆗,40,主煮矩举,tcyu35
𛆘,41,嘴句,tcyu21
𛆙,42,扮婚昏魂患纷分封坟份粉粪风睡,fai44
𛆚,43,口考肯好候,hau35
𛆛,44,斗抖到,lou35
𛆜,45,六略,liou33
𛆝,46,筹抽昼州周洲咒交旧娇绞教救较究舅纠求球丘,tciou44
𛆞,47,丑手首守,ciou35
𛆟,48,串劝,tchyn21
𛆠,49,方芳风封丰妨逢凤番翻,fang44
𛆡,50,亡忘,vang42
𛆢,51,葬算丧蒜,sang33
𛆣,52,看炕靠叩扣孔勘砍扛杠贯杆干,khang21
𛆤,54,天汤通贪,theng44
𛆥,53,年侬然燃,neng44
𛆦,55,并兵变豹朝井平瓶拼聘桥茄其奇棋,piong13
𛆧,56,赢园元圆源缘原员援院愿荣王完玩,iong42
𛆨,57,味位未谓为万湾弯威卫,va33
𛆩,30,亏垮屈,khua44
𛆪,58,吹,tchya33
𛆫,60,内嫩,nie33
𛆬,61,处对兑队堆顿凳,lie21
𛆭,62,真针珍贞斟征金今襟斤巾筋惊徽沈,tcie44
𛆮,63,称,tchie44
𛆯,64,个夜亦要,njie44
𛆰,65,泥银吟,njie42
𛆱,66,吃系音阴因姻殷忆与裕依医衣要以已孕荫于妖腰语药叶易应遗喻瑜幼意任如儒污,ie44
𛆲,67,吃任,ie33
𛆳,68,不未,mwe13
𛆴,71,会丫约要曰,vwe33
𛆵,69,划压鸭,vwe5
𛆶,70,他曲,twe33
𛆷,72,之滋支,tswe44
𛆸,73,匙时,swe42
𛆹,74,赐士是氏仕十事实侍师诗尸狮视市示史,swe13
𛆺,75,主爪己几纪举缴,tci35
𛆻,111,彻喜枕种肿紧锦少起砌,ci35
𛆼,76,一以叶,i5
𛆽,77,猪绿料旅驴,liu44
𛆾,78,尿,njiu33
𛆿,79,少稍,ciu35
𛇀,80,母马木目墓麦磨麻亩牡,mu13
𛇁,81,拿夜又也右佑亦忧要匀若,yu44
𛇂,82,翠去趣欺取娶区,tchy21
𛇃,83,月遇外,njy33
𛇄,84,余移欲愚与入如,y42
𛇅,85,本表,pai35
𛇆,89,惭正帐政转整诊拯镜敬竟卷眷京惊渐颈景井警,pai35
𛇇,87,怜林淋麟劳僚,lai42
𛇈,86,日入儿而尔恩,ai42
𛇉,88,口肯好搞,hau35
𛇊,90,脑投头套,tou42
𛇋,91,柳流留刘榴溜,liou42
𛇌,92,后後,iou13
𛇍,94,作左,tsew35
𛇎,93,坐做作综,tsew21
𛇏,95,生山甥牲笙衫梭馊腮,suow44
𛇐,97,行闲相杏限幸还衡烦,huow42
𛇑,96,反,huow35
𛇒,148,外稳,nguw33
𛇓,98,眉忙茫蒙盲瞒迷眯蛮,mang42
𛇔,101,汤,thang44
𛇕,99,间减烘光官刚功肝冠钢干冈甘棺岗缸柑观公关馆赶敢管感广杆,kang44
𛇖,100,亮谅量,liang33
𛇗,102,长撑掌讲,tciang35
𛇘,103,娘,njiang42
𛇙,105,便边鞭辫片偏,peng44
𛇚,104,先仙鲜,seng44
𛇛,107,丙评平瓶,piong42
𛇜,106,听,tshiong21
𛇝,108,占见建敬件,tcing21
𛇞,109,笔,pa5
𛇟,110,知立泪虑厉利笠雷,la33
𛇠,123,此齿刺次写些伞省且,sie35
𛇡,394,毑,tcie35
𛇢,395,个派,ie21
𛇣,113,报被拜摆跛败拔沸皮,poe21
𛇤,115,来,loe42
𛇥,116,在再载债灾栽,tsoe13
𛇦,117,采插踩煞杀刹死,soe5
𛇧,118,揩街阶皆架价嫁介乖该改盖告怪,koe44
𛇨,119,快块,khuoe21
𛇩,120,忧夜运野益闰惹弱,ye21
𛇪,121,把白吧便变拍培,pwe33
𛇫,122,百佰柏北拔拨缽迫拍泼,pwe5
𛇬,124,既气弃契,tchi21
𛇭,125,除厨住柱助足聚樵,tsiu33
𛇮,126,鞋和何蝴荷胡豪毫耗芙扶,fu42
𛇯,129,嬷禾和雨鹅无武乌,vu42
𛇰,127,苦枯虎湖古果鼓股故过固,khu35
𛇱,128,哭屋,hu5
𛇲,130,拨背杯变卜霸妇陪拍怕帕配赔聘,pw13
𛇳,131,华回费,fw42
𛇴,135,曾侄色塞是始使适宿,sw5
𛇵,132,滑葛割物,kw5
𛇶,133,开孩害,hw44
𛇷,134,门民毛眉闻,mai42
𛇸,136,吞,thai44
𛇹,137,辛心新森,sai44
𛇺,138,悯心新,sai44
𛇻,139,讨,thau35
𛇼,140,老到倒斗道稻凳汪,lau21
𛇽,112,老到凳,lau21
𛇾,114,明名鸣哪抛,nou33
𛇿,141,阁搁罐,kou33
𛈀,142,休收岸,ciou44
𛈂,143,吵所锁,sew35
𛈁,144,落洛丹多单,lew44
𛈃,145,炭,thuow21
𛈄,146,万湾弯,uow33
𛈅,147,甲嘉价国隔格寡股果滚,kuw5
𛈆,149,传程呈缠全权泉乾拳,tcyn42
𛈇,150,映院苑影,yn35
𛈈,151,忘望枉妄汪,vang33
𛈉,152,床藏庄妆装宗桩状撞浅,tsang44
𛈊,153,栅双霜桑酸丧,sang44
𛈋,155,孔,khang35
𛈌,154,中章终张忠专涨樟江姜疆恭宫刚钢公共供弓,tciang44
𛈍,156,用养样央让,iang13
𛈎,157,垫田,teng42
𛈏,158,念闹怒哪内侬炼练联验砚艳研,neng33
𛈐,159,病兵篇拼,piong33
𛈑,160,命,miong33
𛈒,161,成城诚船悬凡盛,ciong42
𛈓,162,圣,ciong21
𛈔,163,言然,njing42
𛈕,164,暗案邀颜岩硬五碗我位,ng13
𛈖,165,早姊走澡盏者,tsa35
𛈗,166,四散晒瘦扫,sa21
𛈘,167,归规龟关,kua44
𛈙,168,鬼癸诡,kua35
𛈚,59,出,cya5
𛈛,170,兴申身深升伸剩,cie44
𛈜,171,派,phoe35
𛈝,172,怀,foe42
𛈞,173,辣俫,loe35
𛈟,182,猜差,tshoe44
𛈠,174,菜蔡,tshoe21
𛈡,175,衣,oe44
𛈢,211,扯蠢托拖牵,tchye35
𛈣,176,蝦夏花话灰悔画,fwe44
𛈤,177,自字之枝脂姿滋兹支只贼制则寺,tswe33
𛈥,169,逆孽泥业热,ni33
𛈦,178,切,tshi5
𛈧,179,妾,tshi5
𛈨,180,西犀消肖宵逍毫妻凄,si44
𛈩,181,合喝服伏付赴务,fu33
𛈪,183,我瓦,ngu13
𛈫,185,处,tchyu21
𛈬,184,书输舒树赎粟,cyu44
𛈭,186,譬佩迫配,phw21
𛈮,187,魂坟,fai42
𛈯,188,长重皂尽进祭讲,tsai13
𛈰,189,牛楼劳,lou42
𛈱,192,座浊昨作,tsou5
𛈲,190,包胞剥饱抛,piou44
𛈳,191,茅卯苗酉,miou13
𛈴,193,臭,tchiou21
𛈵,194,肉,njiou33
𛈶,195,酉有友幼与,iou13
𛈷,198,难能,nuow42
𛈸,197,间更耕,kuow44
𛈹,196,喊,huow21
𛈺,200,半般帮搬伴啄饭放判胖,pang44
𛈻,202,你恼,ang21
𛈼,205,像相纵丈将浆蒋匠,tsiang44
𛈽,204,长从详祥墙,tsiang42
𛈾,199,暖常尝偿雄熊裳,ciang42
𛈿,206,阳羊杨扬洋容蓉绒融,iang42
𛉀,209,宁灵零龄论,liong42
𛉁,207,请,tshiong35
𛉂,208,兄声,ciong44
𛉃,210,显险掀现扇,cing35
𛉄,212,里理鲤李履懒裹旦,la13
𛉅,213,垂婿卷谁诉数睡述随虽,cya42
𛉆,214,排匹,poe42
𛉇,216,胎,thoe44
𛉈,215,哪奈耐挪,noe33
𛉉,271,钗差缠卷捐乾,tshoe44
𛉊,217,宅助家加佳瓜,kue44
𛉋,218,假价驾寡,kue35
𛉌,219,揩嫁架价街皆阶挂怪卦乖,kue21
𛉍,220,爹云爷匀乌污,ye42
𛉎,221,比彼把宝保板壁被婢摆榜扳,pwe35
𛉏,222,哑,vwe35
𛉐,224,铁踢贴,thi5
𛉑,226,层蚕采赠斋尽进调齐樵,tsi42
𛉒,225,残惨祭娇济秦齐,tsi42
𛉓,227,绪制照兆赵站植占注计记季寄跽继既叫及忌纪桂直,tci21
𛉔,228,照赵种记寄,tci21
𛉕,229,跳剃替,tshiu21
𛉖,230,步薄抱部玻晡布博补夫腹甫婆蒲破铺扑,pu33
𛉗,232,茶查锄搽,tsu42
𛉘,233,逼辣癞赖更顾告过故盖的推,ku21
𛉙,234,珠朱拄具,tcyu44
𛉚,235,玉欲窝往,njyu33
𛉛,236,处娶取岂启,tchy35
𛉜,237,北拔,pw5
𛉝,238,扯海害笋舍损耍舜捨,hw35
𛉞,239,品,phai35
𛉟,240,慢孟米莫麦每蜜眯庙妙买谋与问,mai33
𛉠,241,等,lai35
𛉡,242,信讯送宋,sai21
𛉢,243,红洪鸿,hai42
𛉣,245,冒帽,mau33
𛉤,244,草吵炒楚套,tshau35
𛉥,300,号,hau33
𛉦,246,喝个各阁搁恶,kou5
𛉧,302,欧,ou44
𛉨,247,绸袖总坤就共,tsiou33
𛉩,248,畜秋,tshiou44
𛉪,249,羞修,siou44
𛉫,250,粥祝角觉,tciou5
𛉬,252,仇酬效校孝学寿受授熟,ciou13
𛉭,253,通滩,thuow44
𛉮,254,奉放,fang13
𛉯,255,窝亡枉,vang5
𛉰,256,当端,lang44
𛉱,257,聪窗餐仓苍葬枪迁腔抢,tshang44
𛉲,259,空康宽堪,khang44
𛉳,258,砍,khang5
𛉴,260,良粮龙凉梁粱隆亮量,liang42
𛉵,203,凑相箱镶湘厢松,siang44
𛉶,261,香乡胸伤商尚,ciang44
𛉷,314,响享,ciang35
𛉸,262,念点典,neng35
𛉹,263,线连莲,leng42
𛉺,264,男南,nong42
𛉻,265,胆但担坦,long35
𛉼,266,宁冷岭领另令灵龄零丁钉,liong13
𛉽,267,静净精睛定,tsiong13
𛉾,269,参星姓性簪,siong44
𛉿,270,占经坚兼肩,tcing44
𛊀,272,缠展沾捡,tcing44
𛊁,273,贤嫌形刑,cing42
𛊂,274,你燕咽,ing21
𛊃,275,磨安鞍庵嗯饿碗误,ng44
𛊄,276,为唯围微违维伪,va42
𛊅,277,坐做作死,sa35
𛊆,278,雷,lie42
𛊇,279,退,tshie21
𛊈,280,昔惜锡积绩借,sie5
𛊉,281,吃引应任我,ie13
𛊊,282,买嬷埋奶尾萎,moe13
𛊋,283,捉带,loe21
𛊌,284,春村车撑,tchye44
𛊍,223,靴逊训孙石顺射社舍赦笋停,cye44
𛊎,285,别离厘篱璃罗,pi33
𛊏,286,梯,ti44
𛊐,287,吸职折织执酌汁吉结急级击劫洁脚菊决,tci5
𛊑,297,皱焦蕉椒,tsiu44
𛊒,231,腹斧,pu5
𛊓,288,祸妇富附负,fu21
𛊔,289,土塔,thu35
𛊕,290,匣河喊,hu42
𛊖,291,著着惧借菌祀,tcy13
𛊗,292,雪血歇硕设识室,cy5
𛊘,293,逢浮朋陪贫蓬盆袍赔,pw42
𛊙,294,刻,khw5
𛊚,295,弄东灯登冬低,lai44
𛊛,296,辛心新,sai44
𛊜,299,产减省嫂伞,sau35
𛊝,298,愁沉尘陈撑曹遭至志智制治种证镇禁髻似穷勤琴芹,tsou42
𛊞,301,牛,ngou42
𛊟,303,酒,tsiou33
𛊠,305,咬,njiou13
𛊡,304,法叔,ciou5
𛊢,251,鱼由游油犹尤衙牙芽渔柔娥鹅吴,iou42
𛊣,306,英,yn44
𛊤,307,迟地赏同堂团塘童棠唐谈桃萄逃统,tang42
𛊥,201,郎狼朗短党挡当端断栋,lang42
𛊦,311,广管敢感赶馆,kang35
𛊧,308,糠欢荒汉换焕汗唤翰旱,hang44
𛊨,309,行衔咸黄寒皇杭含韩烦,hang42
𛊩,310,想响相恐抢,siang35
𛊪,312,层长像象重丈仗种帐众奏皱灶皂造降颂,tciang13
𛊫,313,鸳鸯秧英婴烟染,iang44
𛊬,315,梅眠媒棉绵枚,meng42
𛊭,268,停廷亭庭厅清情晴青,tsiong42
𛊮,316,姓性幸犯岁鸭,siong21
𛊯,317,穿川轻卿倾,tchiong44
𛊰,318,悲碑被婢备避拔辈斑贝,pa33
𛊱,349,脱,tshie5
𛊲,319,惜昔肯恨憾,sie5
𛊳,320,灾斋,tsoe44
𛊴,321,解矮且,koe35
𛊵,322,尊遵诸遮军君均居闺裙,tcye44
𛊶,323,存巡膝袖竹罪最蔗尊炙转跨裤俊军郡裙,tcye42
𛊷,324,把,pwe35
𛊸,325,屎思司丝师诗私狮尸施斯恩,swe44
𛊹,326,啼提,ti42
𛊺,327,移姨摇窑油游依,i42
𛊻,335,朝场肠长重渐其墙桥茄乔骑奇旗期棋麒祁强,tciu42
𛊼,336,痴稀希食烧岁失属输淑欺,ciu44
𛊽,328,祖组阻赌,tsu35
𛊾,329,骂初粗差操鬚租宅助梳疏纱沙杉苏蓑蔬,tshu35
𛊿,330,孤姑锅估改,ku44
𛋀,331,德得答,lw5
𛋁,332,门闻,mai42
𛋂,333,篮高糕篙哥孤勾钩沟稿敲,kau44
𛋃,334,兜透痛探偷贪滔,thou21
𛋄,342,候喊,hou33
𛋅,339,螃环房妨逢防纺访盘旁亡玩,pang42
𛋆,343,宾冰掰风妨封分份凭问,fang44
𛋇,340,断地段缎短端,tang13
𛋈,337,浪乱短党端断,lang33
𛋉,338,墨妹面免敏梅枚,meng33
𛋊,341,殿电垫佃田恬填甜,teng42
𛋋,344,贱尖箭严然前钱浅泉,tseng42
𛋌,345,现善扇,cing13
𛋍,346,默蔫盈阎盐炎严赢郁抑迎忧延仍,ing42
𛋎,347,浸,tsa33
𛋏,350,借,tsie21
𛋐,351,兴虚胜甚剩,cie21
𛋑,348,埋,moe42
𛋒,353,鸟煮底抵越体桶主,li35
𛋓,360,猫茅苗拆策直指摘责节接借截实,tsi5
𛋔,352,朝嬉招直值置蛰这娇鸡饥机基稽轿急及极忌寂居俱绝襟金闺麒,tci44
𛋕,354,倚椅依扰,i35
𛋖,355,莫,mu33
𛋗,357,路露禄腊芦炉卢庐鲁鸬掳妒都,lu21
𛋘,358,湖河胡壶,hu42
𛋙,362,辰承乘晨神树赎深丞绍殊竖,cyu33
𛋚,361,黑害,hw5
𛋛,359,道稻豆,tau13
𛋜,363,绣秀,siou21
𛋝,365,落洛,lew33
𛋞,364,错,tshew5
𛋟,366,县远冤渊愿怨往,yn13
𛋠,367,淡潭,tong13
𛋡,368,吃饮隐,ie35
𛋢,369,挖,voe5
𛋣,370,慈辞池持迟,tswe21
𛋤,371,既意以已,i21
𛋥,372,舂独毒达度渡窦肚读薯榻踏屠图,tu33
𛋦,356,堵赌,lu35
𛋧,373,乐漏兜蔸,lou33
𛋨,379,爱,tsou42
𛋩,374,争,tsuow44
𛋪,375,美满梦摸摩蒙判胖网,mang13
𛋫,378,总困贵挂怪跪更棍桂拐,tciang33
𛋬,376,唱铳仗,tchiang21
𛋭,377,正惊京荆精兢,tciong44
𛋮,380,谢席夕阵借笛碟敌,tsie33
𛋯,381,卖袜,moe33
𛋰,383,科考歌哥孤姑戈,ku44
𛋱,384,许主暑鼠,cyu35
𛋲,382,背,pw21
𛋳,385,沉从长层蚕辞曹巢陈曾昨遭僧,tsiang42
𛋴,386,葱踩抄操推妻亲侵凄,tshai44
𛋵,387,眼,nguow13
𛋶,388,会活或话画悔患给佛罚范,nong44
𛋷,389,博忽福复幅腹斧魄,fu5
𛋸,390,谷穀鸽歌,ku5
𛋹,391,凤,fang33
𛋺,392,转渐眷,tcye21
𛋻,393,费,fi21
